Date,GOOG_Open,GOOG_High,GOOG_Low,GOOG_Close,GOOG_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Volume
2015-02-09,26.172145348043635,26.370420124476922,26.07400055667949,26.163719177246094,25355423,36.13228052463509,36.5599826918802,36.106616175686554,36.234928131103516,31381100,18.549999237060547,18.720500946044922,18.360000610351562,18.527999877929688,54492000
2015-02-10,26.236582226286192,26.652959046019927,26.11861015288416,26.615285873413086,34997823,36.55998304283712,36.58564412892341,36.08095543620509,36.440223693847656,29670700,18.559499740600586,18.71500015258789,18.425500869750977,18.649999618530273,45744000
2015-02-11,26.53399372749,26.69013574768307,26.438723394197698,26.56720542907715,27555446,36.48298893502096,36.48298893502096,36.106609014108976,36.25202941894531,38262500,18.561500549316406,18.854999542236328,18.55500030517578,18.756999969482422,55730000
2015-02-12,26.63065420383364,27.00588614096859,26.50291542999051,26.912200927734375,32404724,36.491547077571425,36.859371185302734,36.36323512813644,36.859371185302734,33268800,18.7549991607666,18.925500869750977,18.657499313354492,18.85849952697754,55822000
2015-02-13,26.933022202059867,27.258190101417387,26.922115961311714,27.213579177856445,38006060,37.10744212998412,37.526588439941406,36.91069951833558,37.526588439941406,40264900,18.920499801635742,19.149999618530273,18.850500106811523,19.09149932861328,69502000
2015-02-17,27.105519546586716,27.262651322486604,26.82099597819496,26.90774154663086,32336537,37.879804599101725,37.905648307685524,37.207838598942075,37.5438232421875,33695700,18.88599967956543,18.999500274658203,18.633499145507812,18.771499633789062,73464000
2015-02-18,26.836363570262037,27.03909791719885,26.643540022979543,26.75209617614746,29061570,37.586887386611224,37.64719154847332,37.380127912848074,37.500736236572266,27111700,18.68899917602539,18.836999893188477,18.642499923706055,18.668500900268555,53012000
2015-02-19,26.669811504643786,26.921123364269324,26.668324979531583,26.90922737121582,19782163,37.199210774914185,37.50073154651474,37.08721593703544,37.47488784790039,27603400,18.67449951171875,19.0939998626709,18.671499252319336,18.950000762939453,59076000
2015-02-20,26.92211778662045,26.952851317265857,26.55877991608825,26.714921951293945,28887092,37.48351005150841,37.80226441155465,37.29398407363115,37.7850341796875,29721100,18.930999755859375,19.184999465942383,18.79199981689453,19.183000564575195,65160000
2015-02-23,26.57117169745751,26.59045481147272,26.242037192781133,26.36595916748047,29157834,37.64718679323095,38.069315872946206,37.604112866817346,38.03485870361328,32518800,19.172000885009766,19.226999282836914,18.899999618530273,19.006999969482422,43540000
2015-02-24,26.271281761536947,26.607852677509324,26.184538087498893,26.57315444946289,20101036,38.034871700913925,38.16409352431251,37.83672565630686,37.98318099975586,25271700,18.9325008392334,19.02400016784668,18.808000564575195,18.929500579833984,38416000
